a.m.,เอเอ็ม,ก่อนเที่ยง
buttock  ,บั๊ทเทิค,สะโพก
button,บั๊ทท่อน,ปุ่ม
buy,บาย,ซื้อ
by,บาย,"ใกล้,โดย,ข้าง"
bye-bye,บ๊าย-บาย,ลาก่อน
cab,แค๊บ,รถแท็กซี่
cabbage,แคบ’บิจฺ,กะหล่ำปลี
cabin,เค๊บิ้น,"กระท่อม,ห้องนอนในเรือ"
cabinet,ค๊าบิเหน็ต,"คณะรัฐมนตรี,โต๊ะที่มีลิ้นชัก"
cable,เค๊เบิ้ล,"เชือก,สายไฟ"
cadet,คาเด็ท,นักเรียนทหาร
caf?,คาเฟ่,ร้านกาแฟ
cafeteria,แคเฟิทเที๊ยเรีย,โรงอาหาร
cage,เค้จ,กรง
cake,เค๊ก,เค้ก
calculate,แค๊ลคูเหลท,คำนวณ
calendar,แค๊เล็นด้ารํ,ปฏิทิน
calf,คาฟ,น่อง
caliber,แค๊ลิเบ้อรํ,ระดับสติปัญญาความสามารถ
call,คอลลํ,ร้องเรียก
calm,คาลํม,สงบ
camel,แค็มเมิล,อูฐ
camera,แค๊เมร่า,กล้อง
camouflage,แค๊มเม่อฟล๊าจ,พรางตัว
camp,แค๊มพํ,"ที่พัก,พักแรม"
campaign,แคมเพน,รณรงค์
campus,แค๊มพัส,วิทยาลัย
can,แคน,"สามารถ ,กระป๋อง"
canal,คะแนล,คลอง
cancel,แค๊นเซิ้ล,ยกเลิก
cancer,แค๊นเซ่อร์,มะเร็ง
candidate,แค๊นดิเดท,ผู้สมัคร
candle,แค๊นเดิ้ล,เทียน
candy,แค๊นดิ,ลูกอม
cane,แคน,อ้อย
canned fish,แคนดฺ-ฟิช,ปลากระป๋อง
cannon,แค๊นน่อน,ปืนใหญ่
canoeing,คะนอิง,เรือพายเดียว
canteen,แคนทีน,โรงอาหาร
canyon,แค๊นย่อน,หุบเขา
cap,แค๊พ,หมวก
capable,แค๊พพะเบิ้ล,สามารถ
cape,เค้พ,แหลม
capillary,คะพิ๊ลารี่,หลอดที่มีรูเล็กๆ
capital,แค๊พพิท่อล,"เมืองหลวง,เงินทุน"
cappuccino,แคพูชิโน,กาแฟคาปูชิโน่
capsule,แค๊พซูล,แคปซูล
captain,แค๊พเท่น,"ร้อยเอก,กัปตัน"
caption,แค๊พชั่น,คำอธิบายภาพ
capture,แค๊พเจ้อรํ,"จับได้,ยึดได้"
car,คารํ,รถ
car racing,คา เรซซิ่ง,แข่งรถ
caravan,คาราวาน,ขบวนรถ
carbon,ค๊าร์บ้อน,"ถ่าน,คาร์บอน"
card,ค้าร์ด,"ไพ่,นามบัตร"
cardinal,ค๊าร์ดินัล,พระราชาคณะ
care,แคร์,"เอาใจใส่,ดูแล,รักษา"
career,แคร์เรีย,อาชีพ
careful,แค๊ร์ฟูล,ระวัง
cargo,ค๊าร์โก้,สินค้าที่บรรทุกโดยเรือ
carnival,ค๊าร์นิฝ่อล,"การเล่นสนุกสนาน,การแห่"
carpenter,ค๊าเพินเทอะ,ช่างไม้
carpet,ค๊าร์เพ็ท,พรม
carrot,แค’เริท,แครอท
carry,แค๊รรี่,"แบก,หาม,นำไป"
cart,ค๊าร์ท,เกวียน
case,เค๊ส,"เรื่อง,กรณี"
cash,แค๊ช,เงินสด
cashew nut,คะฌู-นัท,เม็ดมะม่วงหิมพานต์
cashier,แคช เชียร์,พนักงานรับจ่ายเงิน
cassette,คัสเซ็ททํ,ตลับบรรจุ
cast,แค๊สทํ,"ทิ้ง,ลอก,หล่อ(โลหะ),ชื่อผู้แสดง"
castle,แค๊สเซิ่ล,ปราสาท
casual,แค๊สช่วล,"ไม่เอาใจใส่,ไม่เป็นทางการ"
casualties,แค๊สชวลที่ส,คนบาดเจ็บและตาย
cat,แค็ท,แมว
catalog,ค๊ะทะล๊อก,บัญชีรายชื่อสินค้า
catalyst,ค๊ะทะลิสท,ตัวเร่ง
catch,แค็ทช,"จับ,ตระครุบ,ฉวย"
category,แค๊ทิกอรี่,แบ่งออกเป็นประเภทๆ
cattle,แค๊ทเทิ่ล,วัวควาย
cause,ค๊อส,"สาเหตุ,ทำให้เกิด"
caution,ค๊อชั่น,"ระมัดระวัง,ตักเตือน"
cave,เค๊ฝ,ถ้ำ
cavity,แค๊ฝิที่,โพรง
cease,ซี๊ส,"หยุด,เลิก"
ceiling,ซี๊ลิ่ง,เพดาน
celebrate,เซ๊เลเบรท,ฉลอง
cell,เซล,ห้องขัง
censor,เซ๊นเซ่อร์,ตรวจตรา
center,เซ๊นเท่อร์,"ตรงกลาง,ใจกลาง"
centipede,เซ็นเทอะพีด,ตะขาบ
centre,เซ๊นเท่อร์,"ตรงกลาง,ใจกลาง"
century,เซ๊นจูรี่,ศตวรรษ
cerebrum,เซอรี๊เบริม,สมองส่วนหน้า
ceremony,เซิ๊ริโมนี่,พิธี
certain,เซ๊อร์เท่น,แน่นอน
certificate,เซอร์ทิ๊ฟิเขท,ประกาศนียบัตร
chain,เชน,โซ่
chair,แช,เก้าอี้
challenge,แช๊ลเล้นจํ,ท้าทาย
champ,แช๊มพํ,ผู้ชนะเลิศ
champagne,แชมเพน,แชมเปญ
chance,แช้นซํ,"โอกาส,หนทาง"
change,เช้งจํ,"เปลี่ยน,ทอน,แลก"
channel,แช๊นเนล,"ช่อง,ช่องแคบ"
chaos,เค๊ออส,ยุ่งเหยิง
chapter,แช๊พเท่อร์,บท
character,แค๊ร์แรคเท่อร์,"ลักษณะ,ตัวอักษร"
charge,ชาร์จ,"บรรจุ,หน้าที่,คิดราคา"
charisma,คาร์ริ๊สม่า,บารมี
charm,ชาร์ม,เสน่ห์
chart,ชาร์ท,"แผนที่,แผนภูมิ"
charter,ช๊าเท่อร์,"กฏบัตร,ธนาคาร"
chase,เชส,ไล่ตาม
chat,แชท,พูดคุย
cheap,ชี๊พ,"ถูก,ด้อยค่า"
cheat,ชี๊ท,โกง
check,เช็ค,ตรวจสอบ
cheek,ชีค,แก้ม
cheer,เชียรํ,"ไชโย,ชื่นบาน"
Cheese,ชีซ, เนยชีส
Cheese cake,ชีซเค้ก,เค้กชีส
cheetah,ชี๊ทะ,เสือชีต้า
chef,เช็ฟ,เชฟ
chemist,เคม มิสทฺ,นักเคมี
cheque,เช็ค,เช็ค
cherry,เช๊ะรี,เชอรี่
chess,เชส,หมากรุก
chest,เชสทํ,หน้าอก
chew,ชิว,เคี้ยว
chic,ชิค,เท่
chicken,ชิ๊คคิน,ไก่
chief,ชี๊ฟ,หัวหน้า
Child,ไชดฺ,เด็ก
chili sauce,ชิลลิ-ซอส,ซอสพริก
chilli,ชิลลี่,พริก
chimpanzee,ซิมเพินซี๊,ลิงชิมแปนซี
chin,ชิน,คาง
chip,ชิพ,"เศษไม้,เบี้ย"
chocolate,ช็อคเลิท,ช็อกโกแลต
Chocolate cake,ช็อกโกแลตเค้ก, เค้กช็อกโกแลต
choice,ช๊อยซํ,"ทางเลือก,ตัวเลือก"
cholera,ค๊อเลอร่า,อหิวาตกโรค
choose,ชู๊ส,เลือก
chop,ช๊อพ,สับ
chopsticks,ช๊อพสติคสํ,ตะเกียบ
chorus,ค๊อรัส,ประสานเสียง
chronic,คร๊อนิค,เรื้อรัง
chronicle,คร๊อนิเคิ้ล,บันทึกเหตุการณ์ตามลำดับ
chrysanthemum juice,คริสแซนเธมัม จูส,น้ำเก๊กฮวย
church,เชิร์ช,โบสถ์
circle,เซ๊อร์เคิ้ล,"วงกลม,ล้อม"
circuit,เซ๊อร์กิท,วงจร
circulate,เซ๊อร์คิวเหลท,หมุนเวียน
circumstance,เซ๊อร์คั่มสแสตนซ์,เหตุการณ์
circus,เซ๊อร์คัส,ละครสัตว์
cite,ไซ้ท์,อ้าง
city,ซิ๊ที่,เมืองใหญ่
civil,ซี๊ฝิ่ล,พลเรือน
claim,เคลม,"อ้าง,เรียกร้อง"
clash,แคลช,ปะทะ
class,คลาสสํ,"ขั้น,ชั้น,ห้องเรียน"
classroom,คลาสรูม,ห้องเรียน
clay,เคลย์,ดินเหนียว
clean,คลีน,"สะอาด,สุจริต"
clear,เคลียร์,"ใส,ชัดเจน,เก็บกวาด"
clerk,คลาค,เสมียน
clever,เคล๊เฝ่อร์,ฉลาด
click,คลิ๊ก,เสียงดังกริ๊ก
client,ไคล๊เอ้นท,ลูกความ
climate,ไคล๊เหมท,บรรยากาศ
climax,ไคล๊แหม๊กซํ,จุดสำคัญ
climb,ไคลบ์,ปีน
cling,คลิ๊ง,"เกาะ,ติด,ยึด"
clock,คล็อค,นาฬิกา
clockwise,คล๊อคไว้ส์,หมุนตามเข็มนาฬิกา
close,โคลส,"ปิด,ใกล้"
cloth,โคลท,เสื้อผ้า
cloud,คลาวดํ,เมฆ
clown,คลาวนํ,ตัวตลก
club,คลับ,สโมสร
clue,คลู,ร่องรอย
cluster,คลั๊สเท่อร์,กลุ่ม
clutch,คลัทซ์,"กำ,คว้า"
co-,โค,ร่วมกัน
coach,โค้ช,"ครูฝึก,รถ"
coal,โคล,ถ่านหิน
coalition,โคอะลิ๊ชั่น,"การรวมกัน,รัฐบาลผสม"
coast,โค้สท,ฝั่งทะเล
coat,โค๊ท,"เสื้อ,เคลือบ,หุ้ม,ฉาบ"
cobra,โค๊บระ,งูเห่า
cocaine,โคเคน,โคเคน
cock,ค๊อค,"ไก้โต้ง,หัวโจก"
cockroach,ค็อคโรช,แมลงสาบ
cocktail,ค็อคเทล,ค็อกเทล
Cocktail ,คอค’เทล, เหล้าค็อกเทล
cocoa,โคโค่,โกโก้
coconut,โค๊โคนัท,มะพร้าว
code,โค้ด,รหัส
coexist,โคเอ็กซิสท,อยู่ร่วมกัน
coffee,คัฟฟี่,กาแฟ
Coffee ,คอฟ’ฟี่, กาแฟ
coffin,ค๊อฟฟิน,โลงศพ
cognition,คอกนิ๊ชั่น,"รู้,ทราบ"
cohere,โคเฮีย,"เกาะติดกัน,สามัคคี"
coil,คอยล์,ม้วนเป็นวง
